CUST_ID,BALANCE,PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,TENURE
C10001,40.900749,95.4,95.4,0.0,1000.0,201.802084,139.50978700000002,12
C10002,3202.467416,0.0,0.0,6442.9454829999995,7000.0,4103.032596999999,1072.340217,12
C10003,2495.148862,773.17,0.0,0.0,7500.0,622.066742,627.284787,12
C10004,1666.670542,1499.0,0.0,205.788017,7500.0,0.0,312.343947,12
C10005,817.714335,16.0,0.0,0.0,1200.0,678.334763,244.79123700000002,12
C10006,1809.8287510000002,1333.28,1333.28,0.0,1800.0,1400.05777,2407.246035,12
C10007,627.260806,7091.01,688.38,0.0,13500.0,6354.314328,198.065894,12
C10008,1823.6527429999999,436.2,436.2,0.0,2300.0,679.0650820000001,532.03399,12
C10009,1014.9264730000001,861.49,200.0,0.0,7000.0,688.278568,311.963409,12
C10010,152.225975,1281.6,0.0,0.0,11000.0,1164.770591,100.302262,12
C10011,1293.124939,920.12,920.12,0.0,1200.0,1083.301007,2172.697765,12
C10012,630.794744,1492.18,0.0,0.0,2000.0,705.618627,155.549069,12
C10013,1516.92862,3217.99,717.76,0.0,3000.0,608.263689,490.20701299999996,12
C10014,921.693369,2137.93,1717.97,0.0,7500.0,1655.891435,251.13798599999998,12
C10015,2772.772734,0.0,0.0,346.81139,3000.0,805.647974,989.962866,12
C10016,6886.213231000001,1611.7,1611.7,2301.4912670000003,8000.0,1993.439277,2109.90649,12
C10017,2072.074354,0.0,0.0,2784.274703,3000.0,391.974562,376.579631,8
C10018,41.089489,519.0,519.0,0.0,2500.0,254.590662,73.203221,12
C10019,1989.0722280000002,504.35,338.35,0.0,13000.0,1720.837373,744.613395,12
C10020,3577.9709329999996,398.64,398.64,0.0,4000.0,1053.980464,12465.54938,12
C10021,2016.6846859999998,176.68,176.68,0.0,2000.0,223.0686,13557.29726,12
C10022,6369.531318,6359.95,449.91,229.02824500000003,11250.0,2077.9590510000003,1659.775075,12
C10023,132.34224,815.9,815.9,0.0,1800.0,2359.629958,86.329554,12
