Fecha,Precio
12/12/2022,1.94
11/12/2022,1.94
10/12/2022,1.94
9/12/2022,1.92
8/12/2022,1.94
7/12/2022,2.08
6/12/2022,2.08
5/12/2022,2.11
4/12/2022,2.33
3/12/2022,2.33
2/12/2022,2.56
1/12/2022,3.44
30/11/2022,3.39
29/11/2022,3.39
28/11/2022,3.44
27/11/2022,3.39
26/11/2022,3.39
25/11/2022,3.22
24/11/2022,3.17
23/11/2022,3.22
22/11/2022,3.22
21/11/2022,2.83
20/11/2022,2.83
19/11/2022,2.83
18/11/2022,2.78
17/11/2022,4.08
16/11/2022,4.06
15/11/2022,4.06
14/11/2022,4.11
13/11/2022,4.17
12/11/2022,4.17
11/11/2022,4.06
10/11/2022,3.83
9/11/2022,3.86
8/11/2022,3.86
7/11/2022,3.94
6/11/2022,3.83
5/11/2022,3.83
4/11/2022,3.89
3/11/2022,3.94
2/11/2022,3.89
1/11/2022,3.89
31/10/2022,3.72
30/10/2022,3.72
29/10/2022,3.72
28/10/2022,4.11
27/10/2022,4.39
26/10/2022,4.33
25/10/2022,4.33
24/10/2022,4.83
23/10/2022,4.83
22/10/2022,4.83
21/10/2022,4.56
20/10/2022,4.5
19/10/2022,4.5
18/10/2022,4.5
17/10/2022,4.5
16/10/2022,4.33
15/10/2022,4.33
14/10/2022,4.03
13/10/2022,4.06
12/10/2022,4.08
11/10/2022,4.08
10/10/2022,4.11
9/10/2022,4.06
8/10/2022,4.06
7/10/2022,4.11
6/10/2022,4.06
5/10/2022,4.06
4/10/2022,4.06
3/10/2022,3.83
2/10/2022,3.72
1/10/2022,3.72
30/09/2022,3.89
29/09/2022,4.06
28/09/2022,4.11
27/09/2022,4.11
26/09/2022,4.17
25/09/2022,4.11
24/09/2022,4.11
23/09/2022,4.08
22/09/2022,4.11
21/09/2022,4.11
20/09/2022,4.11
19/09/2022,3.89
18/09/2022,3.67
17/09/2022,3.67
16/09/2022,3.5
15/09/2022,3.44
14/09/2022,3.44
13/09/2022,3.44
12/09/2022,3.28
11/09/2022,3.22
10/09/2022,3.22
9/09/2022,3.17
8/09/2022,3.19
7/09/2022,3.17
6/09/2022,3.17
5/09/2022,3.25
4/09/2022,3.19
3/09/2022,3.19
2/09/2022,3.17
1/09/2022,3.22
31/08/2022,3.28
30/08/2022,3.28
29/08/2022,3.28
28/08/2022,3.22
27/08/2022,3.22
26/08/2022,3.17
25/08/2022,3.22
24/08/2022,3.06
23/08/2022,3.06
22/08/2022,2.78
21/08/2022,2.83
20/08/2022,2.83
19/08/2022,2.72
18/08/2022,2.78
17/08/2022,2.72
16/08/2022,2.72
15/08/2022,2.33
14/08/2022,2.28
13/08/2022,2.28
12/08/2022,2.33
11/08/2022,2.61
10/08/2022,2.56
9/08/2022,2.56
8/08/2022,2.28
7/08/2022,2.14
6/08/2022,2.14
5/08/2022,2.08
4/08/2022,1.92
3/08/2022,1.86
2/08/2022,1.86
1/08/2022,1.94
31/07/2022,1.92
30/07/2022,1.92
29/07/2022,1.94
28/07/2022,1.92
27/07/2022,1.89
26/07/2022,1.89
25/07/2022,1.92
24/07/2022,1.86
23/07/2022,1.86
22/07/2022,1.72
21/07/2022,1.89
20/07/2022,2
19/07/2022,2
18/07/2022,1.83
17/07/2022,1.75
16/07/2022,1.75
15/07/2022,1.61
14/07/2022,1.42
13/07/2022,1.47
12/07/2022,1.47
11/07/2022,1.69
10/07/2022,1.67
9/07/2022,1.67
8/07/2022,1.61
7/07/2022,1.64
6/07/2022,1.61
5/07/2022,1.61
4/07/2022,1.44
3/07/2022,1.42
2/07/2022,1.44
1/07/2022,1.54
30/06/2022,1.56
29/06/2022,1.61
28/06/2022,1.64
27/06/2022,2.11
26/06/2022,2.33
25/06/2022,2.17
24/06/2022,1.83
23/06/2022,1.44
22/06/2022,1.5
21/06/2022,1.5
20/06/2022,1.47
19/06/2022,1.47
18/06/2022,1.47
17/06/2022,1.42
16/06/2022,1.58
15/06/2022,1.53
14/06/2022,1.53
13/06/2022,1.56
12/06/2022,1.33
11/06/2022,1.33
10/06/2022,1.33
9/06/2022,1.47
8/06/2022,1.44
7/06/2022,1.44
6/06/2022,1.36
5/06/2022,1.31
