iter	Passed	Remaining
0	48	48574
1	67	33506
2	87	29167
3	113	28266
4	130	25934
5	155	25804
6	171	24303
7	188	23433
8	200	22126
9	213	21133
10	228	20568
11	242	19968
12	253	19216
13	263	18537
14	276	18187
15	289	17826
16	301	17431
17	311	16996
18	325	16818
19	339	16639
20	350	16355
21	360	16006
22	373	15871
23	385	15690
24	396	15481
25	406	15233
26	433	15605
27	521	18111
28	564	18913
29	585	18916
30	601	18800
31	617	18688
32	629	18449
33	638	18154
34	652	18000
35	668	17910
36	683	17784
37	698	17680
38	713	17592
39	726	17432
40	736	17229
41	747	17055
42	758	16875
43	771	16756
44	782	16596
45	793	16462
46	806	16344
47	817	16210
48	831	16136
49	844	16038
50	856	15931
51	866	15796
52	878	15692
53	891	15626
54	903	15522
55	912	15390
56	926	15331
57	942	15299
58	955	15234
59	966	15148
60	976	15027
61	987	14942
62	999	14866
63	1009	14767
64	1021	14699
65	1034	14638
66	1047	14583
67	1059	14524
68	1072	14466
69	1089	14468
70	1102	14429
71	1115	14376
72	1127	14321
73	1140	14270
74	1161	14320
75	1175	14294
76	1189	14263
77	1201	14202
78	1214	14159
79	1226	14107
80	1237	14040
81	1247	13970
82	1261	13934
83	1274	13892
84	1287	13854
85	1298	13802
86	1320	13853
87	1341	13906
88	1359	13920
89	1378	13938
90	1401	13998
91	1417	13986
92	1434	13985
93	1446	13938
94	1458	13898
95	1471	13858
96	1486	13835
97	1498	13795
98	1512	13764
99	1524	13722
100	1537	13682
101	1549	13637
102	1561	13595
103	1571	13539
104	1583	13495
105	1593	13442
106	1604	13394
107	1619	13372
108	1630	13324
109	1639	13267
110	1650	13219
111	1660	13166
112	1673	13133
113	1686	13106
114	1696	13056
115	1707	13014
116	1718	12968
117	1728	12919
118	1739	12881
119	1750	12838
120	1760	12786
121	1771	12750
122	1783	12714
123	1793	12669
124	1806	12647
125	1819	12621
126	1830	12585
127	1839	12533
128	1852	12506
129	1866	12490
130	1877	12455
131	1889	12423
132	1902	12401
133	1914	12375
134	1925	12337
135	1935	12295
136	1946	12263
137	1957	12228
138	1967	12188
139	1978	12154
140	1989	12117
141	1999	12079
142	2010	12048
143	2022	12023
144	2031	11977
145	2042	11946
146	2052	11912
147	2063	11880
148	2078	11871
149	2089	11839
150	2103	11824
151	2114	11795
152	2126	11772
153	2138	11746
154	2146	11704
155	2161	11692
156	2175	11679
157	2187	11659
158	2199	11636
159	2211	11608
160	2224	11591
161	2239	11584
162	2253	11570
163	2265	11547
164	2274	11511
165	2285	11482
166	2296	11456
167	2307	11427
168	2320	11412
169	2335	11403
170	2366	11473
171	2383	11474
172	2401	11480
173	2417	11476
174	2442	11514
175	2452	11483
176	2464	11458
177	2476	11438
178	2489	11419
179	2502	11400
180	2514	11376
181	2527	11358
182	2538	11331
183	2549	11304
184	2561	11283
185	2572	11257
186	2584	11236
187	2596	11212
188	2607	11189
189	2616	11155
190	2628	11132
191	2636	11093
192	2645	11061
193	2656	11037
194	2668	11015
195	2678	10987
196	2690	10967
197	2701	10944
198	2711	10914
199	2723	10894
200	2736	10878
201	2749	10860
202	2760	10839
203	2770	10811
204	2781	10787
205	2792	10761
206	2803	10738
207	2814	10716
208	2824	10690
209	2835	10666
210	2847	10648
211	2857	10621
212	2868	10599
213	2881	10582
214	2894	10569
215	2904	10543
216	2914	10518
217	2928	10505
218	2939	10482
219	2949	10455
220	2960	10435
221	2971	10414
222	2981	10388
223	2993	10369
224	3004	10347
225	3013	10320
226	3024	10298
227	3036	10280
228	3045	10253
229	3056	10232
230	3066	10207
231	3076	10184
232	3086	10161
233	3097	10138
234	3108	10119
235	3119	10098
236	3128	10071
237	3140	10055
238	3153	10039
239	3164	10020
240	3173	9995
241	3185	9978
242	3196	9958
243	3206	9934
244	3217	9914
245	3228	9894
246	3237	9870
247	3248	9850
248	3260	9833
249	3269	9809
250	3280	9790
251	3293	9776
252	3305	9760
253	3316	9740
254	3327	9720
255	3337	9699
256	3348	9679
257	3359	9660
258	3370	9643
259	3394	9659
260	3415	9671
261	3433	9670
262	3458	9692
263	3476	9691
264	3502	9714
265	3513	9696
266	3526	9682
267	3543	9677
268	3570	9701
269	3588	9702
270	3607	9705
271	3626	9706
272	3644	9705
273	3661	9700
274	3673	9684
275	3689	9679
276	3708	9678
277	3738	9708
278	3754	9703
279	3769	9693
280	3785	9687
281	3798	9671
282	3809	9651
283	3820	9631
284	3835	9623
285	3848	9607
286	3863	9597
287	3881	9595
288	3898	9591
289	3918	9594
290	3938	9596
291	3957	9596
292	3977	9598
293	3997	9600
294	4021	9610
295	4053	9641
296	4075	9647
297	4100	9660
298	4136	9698
299	4149	9681
300	4164	9671
301	4178	9658
302	4189	9637
303	4204	9626
304	4221	9620
305	4233	9602
306	4249	9592
307	4267	9587
308	4279	9569
309	4292	9555
310	4302	9532
311	4317	9519
312	4334	9513
313	4348	9500
314	4356	9473
315	4367	9452
316	4382	9441
317	4395	9425
318	4408	9412
319	4423	9400
320	4435	9381
321	4447	9364
322	4460	9349
323	4597	9592
324	4620	9595
325	4633	9579
326	4645	9560
327	4662	9552
328	4674	9533
329	4691	9525
330	4704	9508
331	4719	9496
