idcliente,duration,previous,housing,campaign,loan,default,target,muestra
1,261,0,1,1,0,0,0,1
2,50,0,1,1,0,0,0,1
3,1492,0,1,1,0,0,0,1
4,104,0,1,1,0,0,0,1
5,13,0,1,1,0,0,0,1
6,172,0,1,1,1,0,0,1
7,583,0,1,1,0,0,0,1
8,426,0,1,1,1,0,0,1
9,287,0,0,1,0,0,0,1
10,203,0,1,1,0,0,0,1
11,212,0,1,2,1,0,0,1
12,286,0,1,1,0,0,0,1
13,518,0,1,1,0,0,0,1
14,79,0,1,1,0,0,0,1
15,175,0,0,1,1,0,0,0
16,100,0,1,2,1,0,0,0
17,193,0,1,1,0,0,0,1
18,98,0,1,1,0,0,0,1
19,186,0,1,2,0,0,0,0
20,128,0,1,2,0,0,0,1
21,240,0,1,1,0,0,0,1
22,167,0,1,1,0,0,0,0
23,562,0,1,1,0,0,0,1
24,217,0,1,1,0,0,0,1
25,142,0,1,2,0,0,0,1
26,309,0,1,2,0,0,0,0
27,286,0,1,1,0,0,0,1
28,215,0,1,1,0,0,0,1
29,127,0,1,2,1,0,0,1
30,357,0,1,1,0,0,0,0
31,136,0,0,1,1,0,0,1
32,1419,0,1,1,0,0,0,1
33,121,0,0,1,0,0,0,1
34,40,0,1,1,0,0,0,1
35,181,0,1,2,0,0,0,1
36,702,0,1,1,0,0,0,1
37,332,0,1,2,0,0,0,0
38,234,0,0,2,0,0,0,1
39,225,0,1,2,0,0,0,1
40,226,0,1,3,0,0,0,0
41,65,0,1,2,0,0,0,1
42,215,0,1,2,0,0,0,0
43,106,0,1,2,0,0,0,1
44,364,0,1,2,0,0,0,1
45,241,0,1,2,0,0,0,1
46,148,0,0,2,0,0,0,0
47,196,0,1,2,0,0,0,1
48,425,0,1,2,0,0,0,1
49,183,0,1,2,0,0,0,0
50,39,0,1,4,0,0,0,1
51,95,0,1,4,0,0,0,1
52,208,0,1,2,0,0,0,0
53,396,0,1,2,0,0,0,1
54,158,0,1,1,0,0,0,1
55,195,0,1,1,1,0,0,1
56,232,0,1,1,0,0,0,1
57,260,0,0,3,0,0,0,1
58,402,0,1,1,0,0,0,0
59,114,0,1,1,0,0,0,1
60,43,0,1,1,0,0,0,1
61,180,0,1,2,0,0,0,1
62,90,0,1,1,0,0,0,1
63,118,0,1,1,0,0,0,1
64,185,0,1,3,0,0,0,0
65,76,0,1,1,0,0,0,1
66,241,0,0,1,0,0,0,1
67,112,0,1,1,0,0,0,1
68,124,0,1,1,0,0,0,1
69,264,0,1,1,1,0,0,1
70,188,0,1,2,0,0,0,1
71,374,0,1,1,1,0,0,0
72,211,0,1,1,0,0,0,1
73,136,0,1,1,0,0,0,1
74,128,0,1,1,0,0,0,1
75,371,0,1,2,0,0,0,1
76,604,0,1,3,0,0,0,0
77,13,0,1,1,0,0,0,0
78,79,0,1,2,0,0,0,0
79,250,0,1,1,0,0,0,1
80,268,0,1,2,0,0,0,1
81,259,0,1,2,0,0,0,1
82,383,0,1,1,1,0,0,0
83,179,0,0,1,0,0,0,0
84,105,0,1,2,0,0,0,1
85,96,0,1,2,1,0,0,1
86,112,0,1,2,1,0,0,1
87,79,0,1,1,0,0,0,0
88,262,0,1,2,0,0,0,1
89,407,0,1,2,1,0,0,1
90,285,0,1,1,0,0,0,1
91,142,0,0,3,0,0,0,0
92,147,0,1,2,0,0,0,1
93,392,0,1,2,1,0,0,1
94,235,0,1,4,0,0,0,1
95,144,0,1,1,1,0,0,1
96,328,0,1,1,0,0,0,0
97,226,0,1,1,0,0,0,1
98,202,0,1,4,0,0,0,1
99,308,0,1,3,1,0,0,1
100,310,0,1,1,0,0,0,0
101,64,0,1,2,0,1,0,1
102,285,0,1,2,0,0,0,1
103,200,0,1,2,0,0,0,1
104,314,0,1,3,0,0,0,0
105,410,0,1,2,0,0,0,1
106,160,0,0,3,0,0,0,1
107,206,0,1,2,0,0,0,1
108,117,0,1,3,0,0,0,1
109,118,0,1,3,0,0,0,0
110,322,0,1,2,0,0,0,0
111,195,0,1,2,0,0,0,0
112,629,0,1,2,0,0,0,1
113,131,0,1,3,0,0,0,0
114,333,0,1,4,0,0,0,0
115,292,0,1,1,0,1,0,1
116,520,0,1,1,0,0,0,1
117,113,0,1,1,0,0,0,1
118,615,0,1,1,0,0,0,1
119,295,0,1,2,0,0,0,1
120,140,0,1,2,0,0,0,0
121,47,0,1,1,0,0,0,1
122,378,0,1,1,0,0,0,0
123,401,0,1,2,0,0,0,1
124,245,0,1,1,0,0,0,1
